City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Praia Da Vitoria,PT,75.45,light intensity drizzle,38.7333,-27.0667,Hotel Branco I
2,Puerto Ayora,EC,75.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
9,Butaritari,KI,82.38,light rain,3.0707,172.7902,Isles Sunset Lodge
14,Luganville,VU,76.93,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
15,Stokmarknes,NO,76.37,clear sky,68.5646,14.9108,Vesterålen Kysthotell
18,Oussouye,SN,83.28,overcast clouds,12.485,-16.5469,Auberge du Routard
19,Rikitea,PF,75.06,scattered clouds,-23.1203,-134.9692,People ThankYou
22,Faya,SA,75.72,overcast clouds,18.3851,42.4509,مقبرة ال مجمل
23,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
30,Meadow Lake,US,84.47,clear sky,34.8014,-106.5436,JKL Inc. R.V Park and Storage
37,Samarai,PG,79.3,few clouds,-10.6167,150.6667,Nuli Sapi
41,Manado,ID,77.77,heavy intensity rain,1.487,124.8455,Aryaduta Hotel
43,Itarema,BR,86.56,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
45,Hilo,US,77.29,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
53,Itamaraca,BR,80.65,few clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
67,Nikolskoye,RU,80.49,overcast clouds,59.7035,30.7861,Tourist House - Sablino
68,Muli,MV,82.81,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
73,Meulaboh,ID,76.08,overcast clouds,4.1363,96.1285,Kost Pria
74,Melfi,IT,85.23,clear sky,40.9965,15.6514,HOTEL TERME DI RAPOLLA
76,Ohara,JP,77.0,light rain,35.25,140.3833,魁
78,Ardmore,US,85.59,overcast clouds,34.1743,-97.1436,"Motel 6 Ardmore, OK"
79,Gizo,SB,81.99,broken clouds,-8.103,156.8419,Imagination Island
82,Jieshi,CN,82.94,broken clouds,22.8134,115.8257,Yuehai Hotel
84,Lompoc,US,78.13,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
85,Santa Cruz De La Palma,ES,76.14,broken clouds,28.6835,-17.7642,H10 Taburiente Playa
86,Port Antonio,JM,86.92,overcast clouds,18.18,-76.4612,The Trident Hotel
89,Atuona,PF,78.33,clear sky,-9.8,-139.0333,Villa Enata
90,Kumluca,TR,82.81,scattered clouds,36.3703,30.2869,TurkuazKöy
91,Fort Dodge,US,86.45,broken clouds,42.4975,-94.168,"Country Inn & Suites by Radisson, Fort Dodge, IA"
94,Fare,PF,79.99,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
99,Faanui,PF,80.22,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
106,Kapaa,US,76.98,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
107,Hithadhoo,MV,82.04,light rain,-0.6,73.0833,Scoop Guest House
111,Sola,VU,79.93,broken clouds,-13.8833,167.55,Leumerus Bungalows
115,Cayenne,GF,87.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
119,San Pedro De Ycuamandiyu,PY,86.59,clear sky,-24.0917,-57.0764,Hotel Refugio
121,Cockburn Town,TC,81.18,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
123,Bandarbeyla,SO,77.81,broken clouds,9.4942,50.8122,JABIR HOTEL
126,Takoradi,GH,78.01,light rain,4.8845,-1.7554,Raybow International Hotel
