City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pekan,MY,2021-07-05 03:34:39,3.4836,103.3996,86.11,70,78,7.05
1,Mwene-Ditu,CD,2021-07-05 03:34:39,-7.0,23.45,61.61,39,70,4.94
2,Ler,SS,2021-07-05 03:34:39,8.3018,30.1418,71.4,94,100,5.08
3,San Patricio,US,2021-07-05 03:34:39,28.017,-97.5169,84.83,77,100,7.7
4,Yulara,AU,2021-07-05 03:34:40,-25.2406,130.9889,55.24,38,99,8.05
5,Cidreira,BR,2021-07-05 03:34:40,-30.1811,-50.2056,57.29,89,98,12.66
6,Punta Arenas,CL,2021-07-05 03:34:40,-53.15,-70.9167,41.11,75,40,16.11
7,Busselton,AU,2021-07-05 03:34:41,-33.65,115.3333,53.04,60,100,24.99
8,Provideniya,RU,2021-07-05 03:34:41,64.3833,-173.3,50.11,76,90,8.95
9,Bredasdorp,ZA,2021-07-05 03:34:41,-34.5322,20.0403,49.32,76,5,8.05
10,Challapata,BO,2021-07-05 03:34:41,-18.9,-66.7667,40.98,21,0,2.86
11,Pindi Gheb,PK,2021-07-05 03:34:42,33.2402,72.2661,92.66,34,94,8.55
12,Sistranda,NO,2021-07-05 03:34:42,63.7256,8.834,58.96,89,6,4.47
13,Ambulu,ID,2021-07-05 03:34:42,-8.345,113.6058,83.35,59,39,9.69
14,Mataura,NZ,2021-07-05 03:34:43,-46.1927,168.8643,50.02,72,100,6.51
15,Fort Nelson,CA,2021-07-05 03:30:15,58.8053,-122.7002,76.59,41,20,3.44
16,Macherla,IN,2021-07-05 03:34:43,16.4833,79.4333,87.19,58,100,7.87
17,Qaqortoq,GL,2021-07-05 03:34:43,60.7167,-46.0333,54.1,80,100,2.1
18,Chimoio,MZ,2021-07-05 03:34:44,-19.1164,33.4833,51.03,56,0,2.55
19,Qaanaaq,GL,2021-07-05 03:34:44,77.484,-69.3632,30.36,79,32,1.3
20,Port Alfred,ZA,2021-07-05 03:34:44,-33.5906,26.891,53.15,72,12,15.14
21,Saint-Philippe,RE,2021-07-05 03:34:44,-21.3585,55.7679,71.15,71,43,11.27
22,Puerto Ayora,EC,2021-07-05 03:34:45,-0.7393,-90.3518,73.54,89,28,8.99
23,Ormenis,RO,2021-07-05 03:34:45,46.0167,25.55,59.36,96,100,0.89
24,Reyes,BO,2021-07-05 03:34:45,-14.3167,-67.3833,63.41,86,0,1.72
25,Carutapera,BR,2021-07-05 03:34:46,-1.195,-46.02,73.27,94,31,4.97
26,Witu,KE,2021-07-05 03:34:46,-2.3889,40.4382,75.36,80,31,10.33
27,Vaini,TO,2021-07-05 03:34:46,-21.2,-175.2,71.76,68,20,17.27
28,Paamiut,GL,2021-07-05 03:34:46,61.994,-49.6678,42.35,97,100,11.32
29,Albany,US,2021-07-05 03:29:52,42.6001,-73.9662,63.52,88,68,1.52
30,Ambilobe,MG,2021-07-05 03:34:47,-13.2,49.05,68.65,77,26,3.58
31,Kapaa,US,2021-07-05 03:34:47,22.0752,-159.319,84.18,74,75,3.0
32,Tangshan,CN,2021-07-05 03:34:48,39.6333,118.1833,89.69,41,100,5.41
33,Viedma,AR,2021-07-05 03:34:48,-40.8135,-62.9967,48.43,51,0,8.16
34,Hermanus,ZA,2021-07-05 03:34:48,-34.4187,19.2345,51.91,75,14,8.21
35,Rikitea,PF,2021-07-05 03:30:39,-23.1203,-134.9692,74.71,74,2,18.77
36,Butaritari,KI,2021-07-05 03:34:48,3.0707,172.7902,81.48,78,77,13.96
37,Seminole,US,2021-07-05 03:34:49,28.7086,-81.2081,79.32,92,1,5.75
